Name,Capital,Type,Existed,Region,Today Part of,CountryName,Country_Latitude,Country_Longitude
Saint-Domingue,,"Colony, French",1625–1804,Americas: Caribbean,Haiti,Haiti,18.53333333,-72.333333
Colonial Saint Lucia,,"Colony, British",1762–1979,Americas: Caribbean,Saint Lucia,Saint Lucia,14,-61
Colonial Trinidad and Tobago,,"Colony, British",1889–1962,Americas: Caribbean,Trinidad and Tobago,Trinidad and Tobago,10.65,-61.516667
British Honduras,,"Colony, British",1862–1981,Americas: Central,Belize,Belize,17.25,-88.766667
Costa Rica,,,1823–present,Americas: Central,Costa Rica,Costa Rica,9.933333333,-84.083333
El Salvador,,,1841–present,Americas: Central,El Salvador,El Salvador,13.7,-89.2
United Provinces of Central America,,Republic,1823–1838,Americas: Central,Guatemala,Guatemala,14.61666667,-90.516667
Federal Republic of Central America,,Republic,1823–1838,Americas: Central,Guatemala,Guatemala,14.61666667,-90.516667
Captaincy General of Guatemala,,"Territory, Spanish",1609–1821,Americas: Central,Guatemala,Guatemala,14.61666667,-90.516667
Guatemala,,,1823–present,Americas: Central,Guatemala,Guatemala,14.61666667,-90.516667
Greater Republic of Central America,,Republic,1896–1898,Americas: Central,Honduras,Honduras,14.1,-87.216667
Honduras,,,1838–present,Americas: Central,Honduras,Honduras,14.1,-87.216667
Mosquito Coast,,,1838–1894,Americas: Central,Nicaragua,Nicaragua,12.13333333,-86.25
Nicaragua,,,1894–present,Americas: Central,Nicaragua,Nicaragua,12.13333333,-86.25
Canada,,Kingdom,1867–present,Americas: North,Canada,Canada,45.41666667,-75.7
Republic of Manitoba,,Republic,1867–1870,Americas: North,Canada,Canada,45.41666667,-75.7
Greenland,,Company rule,1774–1908,Americas: North,Greenland,Greenland,64.18333333,-51.75
Chan Santa Cruz,,,c.1850–1901,Americas: North,Mexico,Mexico,19.43333333,-99.133333
First Mexican Empire,,Empire,1821–1823,Americas: North,Mexico,Mexico,19.43333333,-99.133333
Mexico,,Republic,1867–present,Americas: North,Mexico,Mexico,19.43333333,-99.133333
Republic of the Rio Grande,,Republic,1840–1840,Americas: North,Mexico,Mexico,19.43333333,-99.133333
Second Mexican Empire,,Empire,1864–1867,Americas: North,Mexico,Mexico,19.43333333,-99.133333
Republic of Sonora,,Republic,1854–1854,Americas: North,Mexico,Mexico,19.43333333,-99.133333
Republic of Yucatán,,Republic,1823; 1841–1848,Americas: North,Mexico,Mexico,19.43333333,-99.133333
California Republic,,Republic,1846–1846,Americas: North,United States,United States,38.883333,-77
Cherokee Nation,,,1794–1907,Americas: North,United States,United States,38.883333,-77
Confederate States of America,,Confederation,1861–1865,Americas: North,United States,United States,38.883333,-77
Republic of Indian Stream,,Republic,1832–1835,Americas: North,United States,United States,38.883333,-77
State of Muskogee,,,1799–1803,Americas: North,United States,United States,38.883333,-77
Republic of Texas,,Republic,1836–1846,Americas: North,United States,United States,38.883333,-77
United States,"Washington, D.C.",Republic,1776–present,Americas: North,United States,United States,38.883333,-77
Republic of West Florida,,Republic,1810–1810,Americas: North,United States,United States,38.883333,-77
Kingdom of Araucanía and Patagonia,,Kingdom,1860–1862,Americas: South,Argentina,Argentina,-34.58333333,-58.666667
Argentina,,,1861–present,Americas: South,Argentina,Argentina,-34.58333333,-58.666667
Buenos Aires,,,1852–1861,Americas: South,Argentina,Argentina,-34.58333333,-58.666667
Argentine Confederation,,Confederation,1831–1861,Americas: South,Argentina,Argentina,-34.58333333,-58.666667
United Provinces of the Río de la Plata,,,1810–1831,Americas: South,Argentina,Argentina,-34.58333333,-58.666667
Viceroyalty of the Río de la Plata,,"Territory, Spanish",1776–1810,Americas: South,Argentina,Argentina,-34.58333333,-58.666667
Bolivia,,,1839–present,Americas: South,Bolivia,Bolivia,-16.5,-68.15
Republic of Acre,,Republic,1899-1900; 1903,Americas: South,Brazil,Brazil,-15.78333333,-47.916667
First Brazilian Republic,,Republic,1889–1930,Americas: South,Brazil,Brazil,-15.78333333,-47.916667
"Portugal, Brazil and the Algarves",,Kingdom,1815–1822/1825,Americas: South,Brazil,Brazil,-15.78333333,-47.916667
Captaincy General of Chile,,"Territory, Spanish",1541–1818,Americas: South,Chile,Chile,-33.45,-70.666667
Chile,,Republic,1818–present,Americas: South,Chile,Chile,-33.45,-70.666667
Republic of Colombia,,,1886–present,Americas: South,Colombia,Colombia,4.6,-74.083333
United States of Colombia,,,1863–1886,Americas: South,Colombia,Colombia,4.6,-74.083333
Gran Colombia,,,1821–1831,Americas: South,Colombia,Colombia,4.6,-74.083333
Granadine Confederation,,Confederation,1858–1863,Americas: South,Colombia,Colombia,4.6,-74.083333
Republic of New Granada,,Republic,1831–1858,Americas: South,Colombia,Colombia,4.6,-74.083333
United Provinces of New Granada,,Republic,1810–1816,Americas: South,Colombia,Colombia,4.6,-74.083333
Viceroyalty of New Granada,,"Territory, Spanish",1717–1819,Americas: South,Colombia,Colombia,4.6,-74.083333
Ecuador,,,1830–present,Americas: South,Ecuador,Ecuador,-0.216666667,-78.5
British Guiana,,"Colony, British",1814–1966,Americas: South,Guyana,Guyana,6.8,-58.15
Paraguay,,,1811–present,Americas: South,Paraguay,Paraguay,-25.26666667,-57.666667
Peru,,,1839–present,Americas: South,Peru,Peru,-12.05,-77.05
Viceroyalty of Peru,,"Territory, Spanish",1542–1824,Americas: South,Peru,Peru,-12.05,-77.05
Peru–Bolivian Confederation,,Confederation,1836–1839,Americas: South,Peru,Peru,-12.05,-77.05
Dutch Surinam,,"Colony, Dutch",1667–1954,Americas: South,Suriname,Suriname,5.833333333,-55.166667
Liga Federal,,Federation,1815–1820,Americas: South,Uruguay,Uruguay,-34.85,-56.166667
Uruguay,,,1828–present,Americas: South,Uruguay,Uruguay,-34.85,-56.166667
United States of Venezuela,,,1864–1953,Americas: South,Venezuela,Venezuela,10.48333333,-66.866667
Kazakh Khanate,,Khanate,1456–1847,Asia: Central,Kazakhstan,Kazakhstan,51.16666667,71.416667
Khanate of Kokand,,Khanate,1709–1876,Asia: Central,Uzbekistan ,,,
Emirate of Bukhara,,Emirate,1747–1826,Asia: Central,Uzbekistan ,,,
Khanate of Khiva,,Khanate,1511–1920,Asia: Central,Uzbekistan ,,,
Qing dynasty,Peking,Monarchy,1644–1912,Asia: East,China,China,39.91666667,116.383333
Republic of Formosa,,Republic,1895,Asia: East,Taiwan,Taiwan,25.03333333,121.516667
Taiping Heavenly Kingdom,,,1851–1864,Asia: East,China,China,39.91666667,116.383333
Republic of Ezo,,Republic,1869,Asia: East,Japan,Japan,35.68333333,139.75
Empire of Japan,,Empire,1868–1947,Asia: East,Japan,Japan,35.68333333,139.75
Ryukyu Kingdom,,Kingdom,1429–1879,Asia: East,Japan,Japan,35.68333333,139.75
Tokugawa shogunate,,Shogunate,1600–1868,Asia: East,Japan,Japan,35.68333333,139.75
Joseon,Hanseong,Kingdom,1392–1897,Asia: East,Korea,,,
Korean Empire,Hanseong,Empire,1897–1910,Asia: East,Korea,,,
Emirate of Afghanistan: Barakzai dynasty,,Emirate,1823–1926; 1929,Asia: South,Afghanistan,Afghanistan,34.51666667,69.183333
Durrani Empire,,Empire,1747–1826,Asia: South,Afghanistan,Afghanistan,34.51666667,69.183333
Theocratic Bhutan,,Kingdom,1616–1907,Asia: South,Bhutan,Bhutan,27.46666667,89.633333
Bhutan,,Kingdom,1650–1905,Asia: South,Bhutan,Bhutan,27.46666667,89.633333
British India,,"Colony, British",1858–1947,Asia: South,India,India,28.6,77.2
Company rule in India,,Company rule,1757–1858,Asia: South,India,India,28.6,77.2
Kharan,,Princely state (subsidiary alliance),1697–1948,Asia: South,India,India,28.6,77.2
Las Bela,,Princely state (subsidiary alliance),1742–1948,Asia: South,India,India,28.6,77.2
Makran,,Princely state (subsidiary alliance),18th century–1948,Asia: South,India,India,28.6,77.2
Manipur,,Princely state (subsidiary alliance),1110–1949,Asia: South,India,India,28.6,77.2
Alirajpur State,,Princely state (subsidiary alliance),1437–1948,Asia: South,India ,India,28.6,77.2
Alwar State,,Princely state (subsidiary alliance),1296–1949,Asia: South,India ,India,28.6,77.2
Athgarh,,Princely state (subsidiary alliance),1178–1949,Asia: South,India ,India,28.6,77.2
Kingdom of Cochin,Various,Kingdom,12th century–1947,Asia: South,India ,India,28.6,77.2
Hyderabad State,,,1803–1948,Asia: South,India ,India,28.6,77.2
Kashmir and Jammu,,Kingdom,1846-1953,Asia: South,India ,India,28.6,77.2
Ahom kingdom,,Kingdom,1228–1826,Asia: South,India ,India,28.6,77.2
Ajaigarh State,,,1765–1949,Asia: South,India ,India,28.6,77.2
Alipura State,,,1757–1950,Asia: South,India ,India,28.6,77.2
Garhwal Kingdom,Various,Kingdom,888–1949,Asia: South,India ,India,28.6,77.2
Jaisalmer State,Jaisalmer,Principality,1156–1947,Asia: South,India ,India,28.6,77.2
Mughal Empire,,Empire,1526–1540; 1555–1857,Asia: South,India ,India,28.6,77.2
Sirmoor State,Sirmür,Principality,1095–1948,Asia: South,India ,India,28.6,77.2
Maratha Empire,,Empire,1674–1820,Asia: South,India ,India,28.6,77.2
Kingdom of Mysore,"Mysore, Srirangapatna",Kingdom,1399–1947,Asia: South,India ,India,28.6,77.2
Sikh Empire,,Empire,1799–1849,Asia: South,India ,India,28.6,77.2
Kingdom of Sikkim,,Kingdom,1642–1975,Asia: South,India ,India,28.6,77.2
Travancore,,,1729–1949,Asia: South,India ,India,28.6,77.2
Huraa dynasty,,Monarchy,1757–1952; 1954–1968,Asia: South,Maldives,Maldives,4.166666667,73.5
Sultanate of the Maldives,,Sultanate,1117–1952; 1954–1968,Asia: South,Maldives,Maldives,4.166666667,73.5
Kingdom of Nepal,Kathmandu,Kingdom,1768–2008,Asia: South,Nepal,Nepal,27.71666667,85.316667
British Ceylon,,"Colony, British",1815–1948,Asia: South,Sri Lanka,Sri Lanka,6.916666667,79.833333
Bruneian Empire,Various,Empire,7th century–1888,Asia: Southeast,Brunei,,,
British rule in Burma,,"Colony, British",1824–1942; 1945–1948,Asia: Southeast,Burma,,,
Konbaung dynasty,,Monarchy,1752–1885,Asia: Southeast,Burma,,,
Kingdom of Cambodia: Middle Period,,Kingdom,early 15th century–1863,Asia: Southeast,Cambodia,Cambodia,11.55,104.916667
Dutch East Indies,,"Colony, Dutch",1800–1942; 1945–1949,Asia: Southeast,Indonesia ,,,
Lanfang Republic,,Republic,1777–1884,Asia: Southeast,Indonesia ,,,
Aceh Sultanate,,Sultanate,1496–1903,Asia: Southeast,Indonesia ,,,
Banten Sultanate,,Sultanate,1527–1813,Asia: Southeast,Indonesia ,,,
Sultanate of Serdang,,Kingdom,1888–c.1890,Asia: Southeast,Indonesia ,,,
Kingdom of Champasak,,Kingdom,1713–1946,Asia: Southeast,Laos,Laos,17.96666667,102.6
Federated Malay States,,,1895–1942; 1945–1946,Asia: Southeast,Malaysia,Malaysia,3.166666667,101.7
Sultanate of Pahang,,Sultanate,1470–1896,Asia: Southeast,Malaysia,Malaysia,3.166666667,101.7
Perak Sultanate: Siak dynasty,,Sultanate,1528–1896,Asia: Southeast,Malaysia,Malaysia,3.166666667,101.7
Selangor Sultanate,,Sultanate,1745–1896,Asia: Southeast,Malaysia,Malaysia,3.166666667,101.7
Sultanate of Maguindanao,,Sultanate,1500–1888,Asia: Southeast,Philippines,Philippines,14.6,120.966667
"Spanish East Indies, part of the Captaincy General of the Philippines",,"Colony, Spanish",1565–1898,Asia: Southeast,Philippines,Philippines,14.6,120.966667
Rattanakosin Kingdom of Siam,,Kingdom,1782–1932,Asia: Southeast,Thailand,Thailand,13.75,100.516667
Annam (French protectorate),,"Protectorate, French",1884–1945; 1945–1949,Asia: Southeast,Vietnam,Vietnam,21.03333333,105.85
Champa,"Indrapura, Vijaya, Panduranga",Kingdom,192–1832,Asia: Southeast,Vietnam,Vietnam,21.03333333,105.85
Cochinchina,,"Colony, French",1862–1945; 1945–1949,Asia: Southeast,Vietnam,Vietnam,21.03333333,105.85
Việt Nam: Nguyễn dynasty,,"Empire (1802–1883), Protectorate (1884–1945)",1802–1945,Asia: Southeast,Vietnam,Vietnam,21.03333333,105.85
Tây Sơn dynasty,,Kingdom,1778–1802,Asia: Southeast,Vietnam,Vietnam,21.03333333,105.85
Tonkin,,,1884–1945; 1945–1949,Asia: Southeast,Vietnam,Vietnam,21.03333333,105.85
North Borneo,,,1882–1941,Asia: Southeast,Malaysia,Malaysia,3.166666667,101.7
Kingdom of Sarawak,,Kingdom,1841–1941; 1945–1946,Asia: Southeast,Malaysia,Malaysia,3.166666667,101.7
Johor Sultanate,,Sultanate,1528–c.1949,Asia: Southeast,Malaysia,Malaysia,3.166666667,101.7
Pattani kingdom,,Kingdom,1516–1902,Asia: Southeast,Malaysia,Malaysia,3.166666667,101.7
Straits Settlements,,"Territory, British",1826–1942; 1945–1946,Asia: Southeast,Malaysia,Malaysia,3.166666667,101.7
Sultanate of Sulu,Various,Sultanate/client,1405–1915,Asia: Southeast,Philippines,Philippines,14.6,120.966667
